YEAR,DIVISION_ID,DIVISION,NPA,LOCATION,PLACE_TYPE,PLACE_DETAIL,NIBRS,STATUS,MONTH
2019,07,North Tryon,17,Outdoors,Residential,Private Residence,Burglary/B&E,Closed,07
2019,07,North Tryon,234,Indoors,Residential,Private Residence,Burglary/B&E,Open,07
2019,22,South,204,Indoors,Retail,Department Store,Shoplifting,Closed,07
2019,27,Freedom,387,Outdoors,Residential,Private Residence,Intimidation,Closed,07
2019,14,University City,192,Indoors,Residential,Private Residence,Burglary/B&E,Open,07
2019,27,Freedom,124,Parking Lot,Retail,Department Store,Motor Vehicle Theft,Closed,07
2019,26,Westover,114,Outdoors,Residential,Apartment/Duplex Private Res,Aggravated Assault,Closed,07
2019,02,Metro,311,Indoors,Residential,Private Residence,Missing Person,Closed,07
2019,16,Providence,366,Outdoors,Commercial Place,Other - Commercial Place,Burglary/B&E,Open,07
2019,14,University City,60,Parking Lot,Retail,Gas Station,All Other Offenses,Open,07
2019,06,Eastway,22,Outdoors,Open Area,Street/Highway,All Other Offenses,Closed,07
2019,14,University City,80,Parking Lot,Residential,Apartment/Duplex Private Res,Damage/Vandalism Of Property,Closed,07
2019,21,Steele Creek,267,Outdoors,Residential,Private Residence,Motor Vehicle Theft,Open,07
2019,16,Providence,3,Outdoors,Open Area,Street/Highway,All Other Offenses,Open,07
2019,02,Metro,361,Indoors,Residential,Private Residence,Intimidation,Closed,07
2019,12,Hickory Grove,316,Parking Lot,Commercial Place,Restaurant/Diner/Coffee Shop,All Other Thefts,Open,07
2019,14,University City,259,Indoors,Residential,Apartment/Duplex Private Res,Burglary/B&E,Closed,07
2019,16,Providence,366,Outdoors,Open Area,Street/Highway,All Other Offenses,Open,07
2019,01,Central,384,Outdoors,Retail,Department Store,Other Unlisted Non-Criminal,Closed,07
2019,27,Freedom,141,Outdoors,Residential,Private Residence,Damage/Vandalism Of Property,Open,07
2019,17,Independence,245,Outdoors,Residential,Apartment/Duplex Private Res,Motor Vehicle Theft,Closed,07
2019,01,Central,340,Outdoors,Open Area,Street/Highway,Drug/Narcotic Violations,Closed,07
2019,02,Metro,70,Other,Residential,Private Residence,All Other Offenses,Open,07
2019,02,Metro,6,Indoors,Residential,Private Residence,Missing Person,Closed,07
2019,14,University City,155,Indoors,Residential,Private Residence,Aggravated Assault,Closed,07
2019,11,North,117,Outdoors,Open Area,Street/Highway,Simple Assault,Closed,07
2019,06,Eastway,343,Indoors,Commercial Place,Restaurant/Diner/Coffee Shop,Simple Assault,Closed,07
2019,01,Central,340,Outdoors,Open Area,Street/Highway,Damage/Vandalism Of Property,Open,07
2019,26,Westover,120,Indoors,Residential,Apartment/Duplex Private Res,Simple Assault,Closed,07
2019,21,Steele Creek,111,Outdoors,Residential,Private Residence,Motor Vehicle Theft,Open,07
